time,step_frequency
2025-07-15 22:36:01.836602,0
2025-07-15 22:36:03.841787,0
2025-07-15 22:36:05.846978,0
2025-07-15 22:36:07.853795,0
2025-07-15 22:36:09.860162,5
2025-07-15 22:36:11.866558,10
2025-07-15 22:36:13.871848,15
2025-07-15 22:36:15.877151,20
2025-07-15 22:36:17.883511,25
2025-07-15 22:36:19.890060,30
2025-07-15 22:36:21.897374,36
2025-07-15 22:36:23.904720,42
2025-07-15 22:36:25.911755,48
2025-07-15 22:36:27.918575,54
2025-07-15 22:36:29.927934,60
2025-07-15 22:36:31.936819,66
2025-07-15 22:36:33.944854,72
2025-07-15 22:36:35.954509,78
2025-07-15 22:36:37.964306,84
2025-07-15 22:36:39.972630,90
2025-07-15 22:36:41.984753,96
2025-07-15 22:36:43.993004,102
2025-07-15 22:36:46.001523,107
2025-07-15 22:36:48.009146,113
2025-07-15 22:36:50.015956,119
2025-07-15 22:36:52.022255,125
2025-07-15 22:36:54.031714,131
2025-07-15 22:36:56.041580,137
2025-07-15 22:36:58.050424,142
2025-07-15 22:37:00.056889,147
2025-07-15 22:37:02.065351,153
2025-07-15 22:37:04.073305,159
2025-07-15 22:37:06.081403,159
2025-07-15 22:37:08.092485,160
2025-07-15 22:37:10.100665,161
2025-07-15 22:37:12.109342,162
2025-07-15 22:37:14.118283,163
2025-07-15 22:37:16.127140,164
2025-07-15 22:37:18.135682,163
2025-07-15 22:37:20.143346,162
2025-07-15 22:37:22.151825,161
2025-07-15 22:37:24.158684,161
2025-07-15 22:37:26.167296,161
2025-07-15 22:37:28.175965,161
2025-07-15 22:37:30.184654,161
2025-07-15 22:37:32.190865,160
2025-07-15 22:37:34.197380,160
2025-07-15 22:37:36.204128,159
2025-07-15 22:37:38.210646,159
2025-07-15 22:37:40.217349,158
2025-07-15 22:37:42.223875,159
2025-07-15 22:37:44.230351,158
2025-07-15 22:37:46.236868,158
2025-07-15 22:37:48.243602,158
2025-07-15 22:37:50.250099,158
2025-07-15 22:37:52.256982,157
2025-07-15 22:37:54.263307,158
2025-07-15 22:37:56.270526,158
2025-07-15 22:37:58.278064,157
2025-07-15 22:38:00.286153,156
2025-07-15 22:38:02.294417,151
2025-07-15 22:38:04.302328,145
2025-07-15 22:38:06.311431,139
2025-07-15 22:38:08.321829,136
2025-07-15 22:38:10.331324,130
2025-07-15 22:38:12.340150,124
2025-07-15 22:38:14.349403,119
2025-07-15 22:38:16.356634,114
2025-07-15 22:38:18.363490,109
2025-07-15 22:38:20.372899,103
2025-07-15 22:38:22.380518,97
2025-07-15 22:38:24.392825,91
2025-07-15 22:38:26.401420,91
2025-07-15 22:38:28.410379,92
2025-07-15 22:38:30.418728,92
2025-07-15 22:38:32.426593,93
2025-07-15 22:38:34.435805,93
2025-07-15 22:38:36.445065,94
2025-07-15 22:38:38.455019,94
2025-07-15 22:38:40.463606,95
2025-07-15 22:38:42.472733,90
2025-07-15 22:38:44.481534,89
2025-07-15 22:38:46.490380,83
2025-07-15 22:38:48.500201,78
2025-07-15 22:38:50.508983,74
2025-07-15 22:38:52.517052,72
2025-07-15 22:38:54.525004,67
2025-07-15 22:38:56.532986,62
2025-07-15 22:38:58.541119,62
2025-07-15 22:39:00.549019,62
2025-07-15 22:39:02.557378,62
2025-07-15 22:39:04.565674,64
2025-07-15 22:39:06.575145,69
2025-07-15 22:39:08.583447,69
2025-07-15 22:39:10.591577,71
2025-07-15 22:39:12.599762,73
2025-07-15 22:39:14.606311,75
2025-07-15 22:39:16.612972,77
2025-07-15 22:39:18.619519,79
2025-07-15 22:39:20.626222,81
2025-07-15 22:39:22.635588,80
2025-07-15 22:39:24.644157,79
2025-07-15 22:39:26.652659,75
2025-07-15 22:39:28.660269,69
2025-07-15 22:39:30.667115,65
2025-07-15 22:39:32.673958,61
2025-07-15 22:39:34.680278,57
2025-07-15 22:39:36.687198,53
2025-07-15 22:39:38.696220,52
2025-07-15 22:39:40.704311,47
2025-07-15 22:39:42.711737,47
2025-07-15 22:39:44.720856,47
2025-07-15 22:39:46.729884,47
2025-07-15 22:39:48.739131,46
2025-07-15 22:39:50.747348,46
2025-07-15 22:39:52.756024,46
2025-07-15 22:39:54.766382,46
2025-07-15 22:39:56.775576,46
2025-07-15 22:39:58.785056,46
2025-07-15 22:40:00.793365,41
2025-07-15 22:40:02.799953,36
2025-07-15 22:40:04.806680,36
2025-07-15 22:40:06.813241,34
2025-07-15 22:40:08.819948,32
2025-07-15 22:40:10.826799,32
2025-07-15 22:40:12.835678,30
2025-07-15 22:40:14.845796,28
2025-07-15 22:40:16.855675,26
2025-07-15 22:40:18.864404,21
2025-07-15 22:40:20.873604,16
2025-07-15 22:40:22.881343,19
2025-07-15 22:40:24.887838,19
2025-07-15 22:40:26.894008,22
2025-07-15 22:40:28.900196,20
2025-07-15 22:40:30.906885,18
2025-07-15 22:40:32.913224,22
2025-07-15 22:40:34.920063,27
2025-07-15 22:40:36.925156,32
2025-07-15 22:40:38.930034,37
2025-07-15 22:40:40.936150,42
2025-07-15 22:40:42.943105,46
2025-07-15 22:40:44.952156,49
2025-07-15 22:40:46.961376,54
2025-07-15 22:40:48.971294,59
2025-07-15 22:40:50.979955,64
2025-07-15 22:40:52.987652,69
2025-07-15 22:40:54.996355,69
2025-07-15 22:40:57.005257,69
2025-07-15 22:40:59.012391,70
2025-07-15 22:41:01.019345,70
2025-07-15 22:41:03.028327,70
2025-07-15 22:41:05.037195,71
2025-07-15 22:41:07.043903,69
2025-07-15 22:41:09.050851,69
2025-07-15 22:41:11.058004,70
2025-07-15 22:41:13.067622,70
2025-07-15 22:41:15.074089,70
2025-07-15 22:41:17.080863,70
2025-07-15 22:41:19.089863,66
2025-07-15 22:41:21.098112,67
2025-07-15 22:41:23.104723,62
2025-07-15 22:41:25.111325,62
2025-07-15 22:41:27.117990,64
2025-07-15 22:41:29.126775,60
2025-07-15 22:41:31.135997,56
2025-07-15 22:41:33.145244,53
2025-07-15 22:41:35.151627,50
2025-07-15 22:41:37.158312,47
2025-07-15 22:41:39.165343,42
2025-07-15 22:41:41.174960,37
2025-07-15 22:41:43.183116,34
2025-07-15 22:41:45.192150,31
2025-07-15 22:41:47.201638,27
2025-07-15 22:41:49.209523,22
2025-07-15 22:41:51.215810,28
2025-07-15 22:41:53.224535,28
2025-07-15 22:41:55.230711,28
2025-07-15 22:41:57.239179,30
2025-07-15 22:41:59.246094,30
2025-07-15 22:42:01.256086,29
2025-07-15 22:42:03.264489,29
2025-07-15 22:42:05.272094,29
2025-07-15 22:42:07.280603,28
2025-07-15 22:42:09.287354,29
2025-07-15 22:42:11.293977,31
2025-07-15 22:42:13.300940,33
2025-07-15 22:42:15.307735,37
2025-07-15 22:42:17.314173,41
2025-07-15 22:42:19.322756,46
2025-07-15 22:42:21.331509,51
2025-07-15 22:42:23.338288,54
2025-07-15 22:42:25.345130,57
2025-07-15 22:42:27.351736,61
2025-07-15 22:42:29.358317,64
2025-07-15 22:42:31.364886,67
2025-07-15 22:42:33.373918,70
2025-07-15 22:42:35.383502,74
2025-07-15 22:42:37.392293,79
2025-07-15 22:42:39.401156,82
2025-07-15 22:42:41.410448,85
2025-07-15 22:42:43.417239,89
2025-07-15 22:42:45.423948,94
2025-07-15 22:42:47.430712,93
2025-07-15 22:42:49.437265,98
2025-07-15 22:42:51.444044,102
2025-07-15 22:42:53.450637,105
2025-07-15 22:42:55.460948,110
2025-07-15 22:42:57.469766,115
2025-07-15 22:42:59.477164,120
2025-07-15 22:43:01.484553,125
2025-07-15 22:43:03.493369,130
2025-07-15 22:43:05.499806,134
2025-07-15 22:43:07.508409,138
2025-07-15 22:43:09.513420,141
2025-07-15 22:43:11.518334,141
2025-07-15 22:43:13.524713,141
2025-07-15 22:43:15.531213,141
2025-07-15 22:43:17.537422,141
2025-07-15 22:43:19.543652,141
2025-07-15 22:43:21.549992,141
2025-07-15 22:43:23.556376,142
2025-07-15 22:43:25.562766,142
2025-07-15 22:43:27.569111,142
2025-07-15 22:43:29.575804,142
2025-07-15 22:43:31.582340,142
2025-07-15 22:43:33.591065,143
2025-07-15 22:43:35.599220,143
2025-07-15 22:43:37.607213,143
2025-07-15 22:43:39.615308,143
2025-07-15 22:43:41.624391,143
2025-07-15 22:43:43.633494,143
2025-07-15 22:43:45.641223,143
2025-07-15 22:43:47.648235,143
2025-07-15 22:43:49.657483,143
2025-07-15 22:43:51.664362,143
2025-07-15 22:43:53.671207,143
2025-07-15 22:43:55.677895,143
2025-07-15 22:43:57.687138,143
2025-07-15 22:43:59.696014,143
2025-07-15 22:44:01.705196,143
2025-07-15 22:44:03.714178,142
2025-07-15 22:44:05.723582,142
2025-07-15 22:44:07.731997,142
2025-07-15 22:44:09.740969,143
2025-07-15 22:44:11.748680,143
2025-07-15 22:44:13.756362,143
2025-07-15 22:44:15.764324,143
2025-07-15 22:44:17.772447,143
2025-07-15 22:44:19.780100,142
2025-07-15 22:44:21.789697,142
2025-07-15 22:44:23.796677,142
2025-07-15 22:44:25.805083,142
2025-07-15 22:44:27.813606,142
2025-07-15 22:44:29.820934,141
2025-07-15 22:44:31.827257,141
2025-07-15 22:44:33.836081,141
2025-07-15 22:44:35.844187,141
2025-07-15 22:44:37.850922,141
2025-07-15 22:44:39.857717,141
2025-07-15 22:44:41.866609,141
2025-07-15 22:44:43.875784,141
2025-07-15 22:44:45.885117,142
2025-07-15 22:44:47.891326,143
2025-07-15 22:44:49.900443,138
2025-07-15 22:44:51.908537,133
2025-07-15 22:44:53.916177,128
2025-07-15 22:44:55.922867,128
2025-07-15 22:44:57.929454,125
2025-07-15 22:44:59.936243,121
2025-07-15 22:45:01.942750,116
2025-07-15 22:45:03.951761,111
2025-07-15 22:45:05.961002,106
2025-07-15 22:45:07.969518,101
2025-07-15 22:45:09.977890,98
2025-07-15 22:45:11.984836,93
2025-07-15 22:45:13.993149,90
2025-07-15 22:45:16.000702,90
2025-07-15 22:45:18.007302,85
2025-07-15 22:45:20.013656,82
2025-07-15 22:45:22.021737,79
2025-07-15 22:45:24.030648,76
2025-07-15 22:45:26.039424,76
2025-07-15 22:45:28.048217,76
2025-07-15 22:45:30.056960,76
2025-07-15 22:45:32.066696,71
2025-07-15 22:45:34.073886,66
2025-07-15 22:45:36.083775,66
