time,speed,step_frequency,heart_rate,steps_time_diff_seconds,heart_time_diff_seconds
2025-07-15 22:42:08.889691,0.01543332,29,89,0.397663,0.07033100000000003
2025-07-15 22:42:10.952211,0.698100508,31,90,0.341766,0.07052099999999994
2025-07-15 22:42:13.014785,1.2346656,33,90,0.28615500000000005,0.07064599999999999
2025-07-15 22:42:15.077347,2.189988108,37,100,0.23038800000000004,0.07082500000000003
2025-07-15 22:42:17.139520,2.214166976,41,99,0.17465299999999995,0.07097299999999995
2025-07-15 22:42:19.202058,2.523862264,46,111,0.12069799999999997,0.07123900000000005
2025-07-15 22:42:21.264656,2.6344677240000003,51,122,0.06685300000000005,0.07100200000000001
2025-07-15 22:42:23.327586,2.622121068,54,130,0.01070199999999999,0.07081199999999999
2025-07-15 22:42:25.389802,2.467787868,57,138,0.044672,0.07140400000000002
2025-07-15 22:42:27.452303,2.487851184,61,144,0.100567,0.07138800000000001
2025-07-15 22:42:29.515011,2.282073584,64,133,0.156694,0.07091000000000003
2025-07-15 22:42:31.577383,2.704432108,67,125,0.212497,0.070805
2025-07-15 22:42:33.640354,2.490423404,70,125,0.266436,0.07091199999999998
2025-07-15 22:42:35.702540,2.847961984,74,117,0.319038,0.07070399999999999
2025-07-15 22:42:37.765369,2.588167764,79,117,0.373076,0.07049899999999998
2025-07-15 22:42:39.827975,1.152869004,82,116,0.426819,0.07042099999999996
2025-07-15 22:42:41.890473,2.848476428,85,116,0.480025,0.070666
2025-07-15 22:42:43.953099,2.78056982,89,107,0.53586,0.070693
2025-07-15 22:42:46.015870,2.3113968920000003,94,107,0.591922,0.070828
2025-07-15 22:42:48.115465,2.755876508,93,109,0.684753,0.033572000000000046
2025-07-15 22:42:50.178218,2.547012244,98,111,0.740953,0.03319799999999995
2025-07-15 22:42:52.277994,1.906529464,102,124,0.83395,0.033332999999999946
2025-07-15 22:42:54.340480,2.435377896,105,126,0.889843,0.03379399999999999
2025-07-15 22:42:56.403610,1.918361676,110,125,0.942662,0.03309300000000004
2025-07-15 22:42:58.466067,1.914760568,115,127,0.996301,0.032833
2025-07-15 22:43:00.566241,2.781084264,125,128,0.918312,0.07379000000000002
2025-07-15 22:43:02.628420,2.8886030600000003,130,132,0.864949,0.03309099999999998
2025-07-15 22:43:04.691159,2.872655296,134,132,0.808647,0.03365399999999996
2025-07-15 22:43:06.753432,3.104155096,138,133,0.754977,0.033286999999999956
2025-07-15 22:43:08.815856,2.745587628,141,134,0.6975640000000001,0.033779
2025-07-15 22:43:10.878289,3.026474052,141,134,0.640045,0.03322899999999995
2025-07-15 22:43:12.941060,2.740957632,141,136,0.583653,0.033663
2025-07-15 22:43:15.003848,2.926157472,141,135,0.527365,0.03317999999999999
2025-07-15 22:43:17.066134,3.209616116,141,140,0.47128800000000004,0.03368800000000005
2025-07-15 22:43:19.128988,2.7779976000000004,141,135,0.41466400000000003,0.033070000000000044
2025-07-15 22:43:21.191705,2.502255616,141,138,0.358287,0.03290099999999996
2025-07-15 22:43:23.253746,3.0146418400000004,142,136,0.30262999999999995,0.033335000000000004
2025-07-15 22:43:25.316835,2.480134524,142,138,0.245931,0.03323799999999999
2025-07-15 22:43:27.379247,2.949307452,142,137,0.18986400000000003,0.032923000000000036
2025-07-15 22:43:29.441499,2.684368792,142,135,0.134305,0.03395999999999999
2025-07-15 22:43:31.504448,2.5135733840000003,142,134,0.07789199999999996,0.032835999999999976
2025-07-15 22:43:33.566905,2.982746312,143,133,0.02415999999999996,0.03366100000000005
2025-07-15 22:43:35.630403,2.27384248,143,135,0.031183,0.03256899999999996
2025-07-15 22:43:37.691636,2.68539768,143,134,0.084423,0.03325699999999998
2025-07-15 22:43:39.754558,2.6169766279999997,143,136,0.13925,0.033420000000000005
2025-07-15 22:43:41.817107,2.1853581120000003,143,135,0.192716,0.03295199999999998
2025-07-15 22:43:43.879360,2.758963172,143,138,0.245866,0.033453999999999984
2025-07-15 22:43:45.941848,2.733755416,143,136,0.300625,0.033791000000000015
2025-07-15 22:43:48.004553,2.5999999760000003,143,138,0.356318,0.03311399999999998
