time,heart_rate
2025-07-15 22:43:05.755567,134
2025-07-15 22:43:05.757645,134
2025-07-15 22:43:06.786719,133
2025-07-15 22:43:06.788787,133
2025-07-15 22:43:07.817802,133
2025-07-15 22:43:07.820126,133
2025-07-15 22:43:08.849635,134
2025-07-15 22:43:08.852083,134
2025-07-15 22:43:09.880469,134
2025-07-15 22:43:09.882042,134
2025-07-15 22:43:10.911518,134
2025-07-15 22:43:10.913011,134
2025-07-15 22:43:11.942655,134
2025-07-15 22:43:11.944463,134
2025-07-15 22:43:12.974723,136
2025-07-15 22:43:12.976615,136
2025-07-15 22:43:14.005612,138
2025-07-15 22:43:14.007483,138
2025-07-15 22:43:15.037028,135
2025-07-15 22:43:15.038834,135
2025-07-15 22:43:16.068166,137
2025-07-15 22:43:16.070572,137
2025-07-15 22:43:17.099822,140
2025-07-15 22:43:17.101584,140
2025-07-15 22:43:18.133255,135
2025-07-15 22:43:18.134716,135
2025-07-15 22:43:19.162058,135
2025-07-15 22:43:19.163921,135
2025-07-15 22:43:20.193183,138
2025-07-15 22:43:20.195135,138
2025-07-15 22:43:21.224606,138
2025-07-15 22:43:21.226477,138
2025-07-15 22:43:22.256030,138
2025-07-15 22:43:22.257910,138
2025-07-15 22:43:23.287081,136
2025-07-15 22:43:23.288924,136
2025-07-15 22:43:24.318354,138
2025-07-15 22:43:24.320383,138
2025-07-15 22:43:25.350073,138
2025-07-15 22:43:25.351994,138
2025-07-15 22:43:26.381268,135
2025-07-15 22:43:26.383646,135
2025-07-15 22:43:27.412170,137
2025-07-15 22:43:27.414290,137
2025-07-15 22:43:28.443605,137
2025-07-15 22:43:28.445620,137
2025-07-15 22:43:29.475459,135
2025-07-15 22:43:29.477308,135
2025-07-15 22:43:30.508821,135
2025-07-15 22:43:30.510719,135
2025-07-15 22:43:31.537284,134
2025-07-15 22:43:31.539476,134
2025-07-15 22:43:32.568966,135
2025-07-15 22:43:32.571364,135
2025-07-15 22:43:33.600566,133
2025-07-15 22:43:33.602686,133
2025-07-15 22:43:34.631465,133
2025-07-15 22:43:34.633306,133
2025-07-15 22:43:35.662972,135
2025-07-15 22:43:35.665305,135
2025-07-15 22:43:36.693696,138
2025-07-15 22:43:36.695730,138
2025-07-15 22:43:37.724893,134
2025-07-15 22:43:37.726819,134
2025-07-15 22:43:38.756225,134
2025-07-15 22:43:38.758189,134
2025-07-15 22:43:39.787978,136
2025-07-15 22:43:39.789761,136
2025-07-15 22:43:40.818730,137
2025-07-15 22:43:40.820633,137
2025-07-15 22:43:41.850059,135
2025-07-15 22:43:41.851982,135
