speed,step_frequency,heart_rate
1.0145978888888888e-05,64,85
2.429318888888889e-05,60,87
1.571912222222222e-05,56,88
3.1438244444444166e-06,53,88
1.3718506666666665e-05,50,87
2.2864177777777777e-06,47,93
2.8437321111111113e-05,42,93
2.986633222222222e-05,37,92
2.043485888888889e-05,34,92
1.3289803333333334e-05,27,87
6.244778555555555e-05,22,88
1.7576836666666666e-05,28,90
5.415952111111111e-05,28,92
1.4575913333333333e-05,28,93
1.4575913333333333e-05,30,93
4.572835555555555e-06,30,93
3.0723738888888886e-05,29,93
2.9294727777777778e-05,29,93
3.5868178888888894e-05,29,91
2.7294112222222224e-05,28,90
4.287033333333333e-06,29,89
0.00019391680777777778,31,90
0.0003429626666666667,33,90
0.00060833003,37,100
0.0006150463822222222,41,99
0.0007010728511111111,46,111
0.0007317965900000001,51,122
0.0007283669633333334,54,130
0.0006854966299999999,57,138
0.0006910697733333333,61,144
0.0006339093288888889,64,133
0.0007512311411111111,67,125
0.0006917842788888888,70,125
0.000791100551111111,74,117
0.00071893549,79,117
0.00032024139,82,116
0.0007912434522222223,85,116
0.0007723805055555556,89,107
0.0006420546922222223,94,107
0.0007655212522222222,93,109
0.0007075034011111111,98,111
0.0005295915177777777,102,124
0.0006764938599999999,105,126
0.0005328782433333333,110,125
0.0005318779355555555,115,127
0.0007725234066666667,125,128
0.000802389738888889,130,132
0.0007979598044444444,134,132
0.0008622653044444445,138,133
0.00076266323,141,134
0.0008406872366666667,141,134
0.0007613771200000001,141,136
0.00081282152,141,135
0.0008915600322222222,141,140
0.0007716660000000001,141,135
0.0006950710044444444,141,138
0.0008374005111111112,142,136
0.0006889262566666666,142,138
0.0008192520700000001,142,137
0.0007456579977777778,142,135
0.000698214828888889,142,134
0.0008285406422222222,143,133
0.0006316229111111111,143,135
0.0007459437999999999,143,134
0.0007269379522222222,143,136
0.00060704392,143,135
0.0007663786588888889,143,138
0.0007593765044444445,143,136
0.0007222222155555556,143,138
0.0008173943555555555,143,139
0.0006386250655555555,143,138
0.0007660928566666667,143,138
0.0006659191777777778,143,142
0.0006889262566666666,143,140
0.0005032977133333334,143,142
0.0006423404944444445,143,143
0.0005220177588888888,142,142
0.0007326539966666666,142,139
0.00056460229,142,140
0.0007093611155555556,143,141
0.0005870377644444444,143,140
0.00075494657,143,144
0.0005933254133333333,143,147
0.0006360528455555556,142,145
0.0005711757411111111,142,145
0.0007055027855555556,142,145
0.0005297344188888889,142,144
0.0007212219077777778,142,143
0.0006384821644444445,141,143
0.0006750648488888889,141,142
0.0007623774277777778,141,142
0.0006719210244444444,141,142
0.0006644901666666667,141,141
0.0006459130222222221,141,139
0.00041212680444444445,141,140
0.00031738336777777776,141,139
0.00021478036999999999,142,139
9.131381e-05,143,138
2.300707888888889e-05,138,132
3.572527777777778e-06,133,108
7.002154444444445e-06,128,104
1.0431781111111082e-05,128,71
1.8577144444444444e-05,125,56
9.860176666666667e-06,121,54
1.0003077777777778e-05,116,63
1.2432396666666667e-05,111,61
1.1717891111111111e-05,106,58
8.145363333333334e-06,101,49
1.2003693333333332e-05,98,47
6.001846666666666e-06,93,54
1.0431781111111082e-05,90,63
1.7291034444444443e-05,90,67
1.0431781111111082e-05,85,63
1.2718198888888888e-05,82,43
7.145055555555556e-06,79,40
9.574374444444443e-06,76,41
3.2867255555555556e-06,76,41
4.001231111111111e-06,76,46
8.574066666666666e-07,71,44
3.2867255555555556e-06,66,44
9.574374444444443e-06,66,50
6.43055e-06,66,44
3.572527777777778e-06,66,48
1.4433012222222221e-05,65,50
3.2867255555555556e-06,64,46
7.573758888888888e-06,69,47
5.287341111111111e-06,74,45
7.145055555555556e-06,79,40
1.3432704444444444e-05,79,52
8.288264444444443e-06,82,97
1.3146902222222223e-05,86,68
8.145363333333334e-06,91,53
9.717275555555557e-06,96,55
3.1438244444444166e-06,100,52
1.4718814444444417e-05,105,49
3.2867255555555556e-06,108,43
1.1289187777777776e-05,108,46
1.6290726666666667e-05,106,46
5.1587301111111115e-05,107,66
1.7433935555555552e-05,107,58
1.0145978888888888e-05,111,68
6.0304268888888894e-05,115,78
9.288572222222222e-06,118,75
3.558237666666667e-05,118,90
5.287341111111111e-05,118,79
5.3016312222222226e-05,118,71
2.9008925555555555e-05,123,69
1.6433627777777777e-05,128,56
1.9434551111111113e-05,129,60
2.6722507777777775e-05,129,69
1.7148133333333333e-05,124,64
1.0145978888888888e-05,119,67
1.3146902222222223e-05,120,51
1.0574682222222222e-05,121,69
1.0860484444444444e-05,122,70
9.14567111111111e-06,123,66
5.573143333333333e-06,124,90
8.288264444444443e-06,125,91
1.671943e-05,126,92
1.1289187777777776e-05,127,91
3.715428888888889e-06,128,90
6.287648888888861e-06,129,89
1.028888e-05,130,89
2.0291957777777776e-05,136,90
2.557929888888889e-05,142,91
1.7576836666666666e-05,142,92
2.4150287777777778e-05,148,92
3.4296266666666663e-06,148,92
3.129534333333333e-05,148,93
3.886910222222223e-05,149,93
4.2727432222222225e-05,150,93
2.8866024444444442e-05,151,92
4.1584223333333333e-05,152,92
6.587741222222222e-05,147,93
6.144747777777777e-05,148,93
2.6293804444444445e-05,147,92
8.145363333333334e-06,147,92
2.6865408888888888e-05,147,92
1.671943e-05,142,93
1.8720045555555558e-05,142,93
1.7433935555555552e-05,136,92
1.8148441111111108e-05,130,92
1.571912222222222e-05,124,91
4.144132222222222e-06,118,90
2.57222e-06,112,90
1.1860792222222222e-05,106,89
1.1289187777777776e-05,100,90
6.43055e-06,88,91
5.430242222222222e-06,82,93
2.2578375555555553e-05,76,95
1.557622111111111e-05,70,95
6.573451111111111e-06,64,94
1.586202333333333e-05,58,93
8.145363333333334e-06,52,92
1.3004001111111111e-05,46,92
3.372466222222219e-05,40,93
1.9863254444444443e-05,34,94
2.800861777777778e-05,29,93
2.314998e-05,25,92
1.257529777777775e-05,24,91
1.671943e-05,26,90
3.172404666666666e-05,21,89
9.431473333333332e-06,18,89
7.145055555555556e-06,15,89
4.001231111111111e-06,17,90
6.716352222222222e-06,17,91
