time,x,y,z
2025-07-09 17:14:31.145044,-1.068,-0.072,-0.216
2025-07-09 17:14:31.162562,-1.052,-0.096,-0.216
2025-07-09 17:14:31.163841,-1.052,-0.096,-0.216
2025-07-09 17:14:31.181300,-1.052,-0.1,-0.208
2025-07-09 17:14:31.182562,-1.052,-0.1,-0.208
2025-07-09 17:14:31.200047,-1.06,-0.112,-0.208
2025-07-09 17:14:31.201319,-1.06,-0.112,-0.208
2025-07-09 17:14:31.218819,-1.06,-0.108,-0.204
2025-07-09 17:14:31.220096,-1.06,-0.108,-0.204
2025-07-09 17:14:31.237551,-1.06,-0.12,-0.2
2025-07-09 17:14:31.238814,-1.06,-0.12,-0.2
2025-07-09 17:14:31.256297,-1.052,-0.124,-0.2
2025-07-09 17:14:31.257563,-1.052,-0.124,-0.2
2025-07-09 17:14:31.275088,-1.06,-0.132,-0.196
2025-07-09 17:14:31.276351,-1.06,-0.132,-0.196
2025-07-09 17:14:31.293793,-1.06,-0.124,-0.196
2025-07-09 17:14:31.295039,-1.06,-0.124,-0.196
2025-07-09 17:14:31.312543,-1.056,-0.12,-0.18
2025-07-09 17:14:31.313795,-1.056,-0.12,-0.18
2025-07-09 17:14:31.331324,-1.072,-0.132,-0.168
2025-07-09 17:14:31.332574,-1.072,-0.132,-0.168
2025-07-09 17:14:31.350036,-1.104,-0.136,-0.164
2025-07-09 17:14:31.351283,-1.104,-0.136,-0.164
2025-07-09 17:14:31.368790,-1.136,-0.136,-0.18
2025-07-09 17:14:31.370042,-1.136,-0.136,-0.18
2025-07-09 17:14:31.406297,-1.132,-0.14,-0.224
2025-07-09 17:14:31.407573,-1.132,-0.14,-0.224
2025-07-09 17:14:31.425042,-1.096,-0.148,-0.248
2025-07-09 17:14:31.426291,-1.096,-0.148,-0.248
2025-07-09 17:14:31.443806,-1.056,-0.124,-0.236
2025-07-09 17:14:31.445055,-1.056,-0.124,-0.236
2025-07-09 17:14:31.462540,-1.024,-0.116,-0.232
2025-07-09 17:14:31.463808,-1.024,-0.116,-0.232
2025-07-09 17:14:31.481289,-1.012,-0.104,-0.24
2025-07-09 17:14:31.482543,-1.012,-0.104,-0.24
2025-07-09 17:14:31.500100,-1.028,-0.084,-0.256
2025-07-09 17:14:31.501339,-1.028,-0.084,-0.256
2025-07-09 17:14:31.518818,-1.044,-0.104,-0.256
2025-07-09 17:14:31.520057,-1.044,-0.104,-0.256
2025-07-09 17:14:31.537565,-1.064,-0.1,-0.236
2025-07-09 17:14:31.538784,-1.064,-0.1,-0.236
2025-07-09 17:14:31.556336,-1.084,-0.088,-0.212
2025-07-09 17:14:31.557536,-1.084,-0.088,-0.212
2025-07-09 17:14:31.575073,-1.084,-0.068,-0.196
2025-07-09 17:14:31.576266,-1.084,-0.068,-0.196
2025-07-09 17:14:31.593806,-1.08,-0.064,-0.18
2025-07-09 17:14:31.599192,-1.08,-0.064,-0.18
2025-07-09 17:14:31.612574,-1.076,-0.052,-0.176
2025-07-09 17:14:31.613773,-1.076,-0.052,-0.176
2025-07-09 17:14:31.631316,-1.072,-0.064,-0.164
2025-07-09 17:14:31.632518,-1.072,-0.064,-0.164
2025-07-09 17:14:31.650058,-1.052,-0.084,-0.164
2025-07-09 17:14:31.651249,-1.052,-0.084,-0.164
2025-07-09 17:14:31.668826,-1.052,-0.096,-0.152
2025-07-09 17:14:31.670025,-1.052,-0.096,-0.152
2025-07-09 17:14:31.706304,-1.048,-0.156,-0.136
2025-07-09 17:14:31.707509,-1.048,-0.156,-0.136
2025-07-09 17:14:31.725074,-1.044,-0.2,-0.128
2025-07-09 17:14:31.726277,-1.044,-0.2,-0.128
2025-07-09 17:14:31.745511,-1.048,-0.192,-0.108
2025-07-09 17:14:31.746880,-1.048,-0.192,-0.108
2025-07-09 17:14:31.763784,-1.064,-0.176,-0.12
2025-07-09 17:14:31.765183,-1.064,-0.176,-0.12
2025-07-09 17:14:31.781431,-1.068,-0.16,-0.136
2025-07-09 17:14:31.782708,-1.068,-0.16,-0.136
2025-07-09 17:14:31.800774,-1.072,-0.036,-0.192
2025-07-09 17:14:31.802221,-1.072,-0.036,-0.192
2025-07-09 17:14:31.818947,-1.08,0.096,-0.204
2025-07-09 17:14:31.820270,-1.08,0.096,-0.204
2025-07-09 17:14:31.837592,-1.072,0.168,-0.236
2025-07-09 17:14:31.838917,-1.072,0.168,-0.236
2025-07-09 17:14:31.856382,-1.08,0.168,-0.252
2025-07-09 17:14:31.857791,-1.08,0.168,-0.252
2025-07-09 17:14:31.875165,-1.08,0.08,-0.248
2025-07-09 17:14:31.876467,-1.08,0.08,-0.248
2025-07-09 17:14:31.893838,-1.068,0.028,-0.244
2025-07-09 17:14:31.895135,-1.068,0.028,-0.244
2025-07-09 17:14:31.912554,-1.072,-0.02,-0.224
2025-07-09 17:14:31.913798,-1.072,-0.02,-0.224
2025-07-09 17:14:31.931337,-1.068,-0.084,-0.196
2025-07-09 17:14:31.932601,-1.068,-0.084,-0.196
2025-07-09 17:14:31.950046,-1.056,-0.096,-0.184
2025-07-09 17:14:31.951285,-1.056,-0.096,-0.184
2025-07-09 17:14:31.987570,-1.068,-0.088,-0.196
2025-07-09 17:14:31.988826,-1.068,-0.088,-0.196
2025-07-09 17:14:32.006304,-1.084,-0.096,-0.188
2025-07-09 17:14:32.007555,-1.084,-0.096,-0.188
2025-07-09 17:14:32.025085,-1.076,-0.104,-0.184
2025-07-09 17:14:32.026383,-1.076,-0.104,-0.184
2025-07-09 17:14:32.043842,-1.076,-0.088,-0.188
2025-07-09 17:14:32.045161,-1.076,-0.088,-0.188
2025-07-09 17:14:32.062603,-1.088,-0.096,-0.192
2025-07-09 17:14:32.063932,-1.088,-0.096,-0.192
2025-07-09 17:14:32.081355,-1.076,-0.096,-0.192
2025-07-09 17:14:32.082667,-1.076,-0.096,-0.192
2025-07-09 17:14:32.118820,-1.064,-0.1,-0.204
2025-07-09 17:14:32.120247,-1.064,-0.1,-0.204
2025-07-09 17:14:32.121386,-1.068,-0.1,-0.204
2025-07-09 17:14:32.122349,-1.068,-0.1,-0.204
2025-07-09 17:14:32.137563,-1.072,-0.088,-0.22
2025-07-09 17:14:32.138821,-1.072,-0.088,-0.22
2025-07-09 17:14:32.156316,-1.06,-0.08,-0.22
2025-07-09 17:14:32.157573,-1.06,-0.08,-0.22
2025-07-09 17:14:32.175085,-1.068,-0.076,-0.228
2025-07-09 17:14:32.176345,-1.068,-0.076,-0.228
2025-07-09 17:14:32.193793,-1.068,-0.072,-0.224
2025-07-09 17:14:32.195047,-1.068,-0.072,-0.224
2025-07-09 17:14:32.212575,-1.06,-0.08,-0.224
2025-07-09 17:14:32.213823,-1.06,-0.08,-0.224
2025-07-09 17:14:32.231306,-1.064,-0.084,-0.212
2025-07-09 17:14:32.232575,-1.064,-0.084,-0.212
2025-07-09 17:14:32.250062,-1.052,-0.092,-0.208
2025-07-09 17:14:32.251327,-1.052,-0.092,-0.208
2025-07-09 17:14:32.287548,-1.064,-0.088,-0.208
2025-07-09 17:14:32.288816,-1.064,-0.088,-0.208
2025-07-09 17:14:32.306310,-1.064,-0.088,-0.184
2025-07-09 17:14:32.307564,-1.064,-0.088,-0.184
2025-07-09 17:14:32.325059,-1.068,-0.096,-0.188
2025-07-09 17:14:32.326315,-1.068,-0.096,-0.188
2025-07-09 17:14:32.343807,-1.068,-0.092,-0.196
2025-07-09 17:14:32.345060,-1.068,-0.092,-0.196
2025-07-09 17:14:32.362540,-1.072,-0.076,-0.188
2025-07-09 17:14:32.363817,-1.072,-0.076,-0.188
2025-07-09 17:14:32.381324,-1.072,-0.072,-0.176
2025-07-09 17:14:32.382581,-1.072,-0.072,-0.176
2025-07-09 17:14:32.400044,-1.068,-0.068,-0.18
2025-07-09 17:14:32.401365,-1.068,-0.068,-0.18
2025-07-09 17:14:32.437583,-1.072,-0.06,-0.184
2025-07-09 17:14:32.439096,-1.072,-0.06,-0.184
2025-07-09 17:14:32.440301,-1.072,-0.048,-0.196
2025-07-09 17:14:32.441324,-1.072,-0.048,-0.196
2025-07-09 17:14:32.456305,-1.068,-0.036,-0.184
2025-07-09 17:14:32.457600,-1.068,-0.036,-0.184
2025-07-09 17:14:32.493805,-1.072,-0.032,-0.18
2025-07-09 17:14:32.495309,-1.072,-0.032,-0.18
