time,x,y,z
2025-07-10 14:48:41.810316,-0.952,0.14,-0.436
2025-07-10 14:48:41.811611,-0.952,0.14,-0.436
2025-07-10 14:48:41.829089,-0.964,0.132,-0.448
2025-07-10 14:48:41.830384,-0.964,0.132,-0.448
2025-07-10 14:48:41.866573,-0.944,0.148,-0.456
2025-07-10 14:48:41.867881,-0.944,0.148,-0.456
2025-07-10 14:48:41.885336,-0.96,0.168,-0.452
2025-07-10 14:48:41.886633,-0.96,0.168,-0.452
2025-07-10 14:48:41.904068,-0.96,0.16,-0.46
2025-07-10 14:48:41.905365,-0.96,0.16,-0.46
2025-07-10 14:48:41.922820,-0.964,0.148,-0.464
2025-07-10 14:48:41.924623,-0.964,0.148,-0.464
2025-07-10 14:48:41.941583,-0.964,0.144,-0.464
2025-07-10 14:48:41.942870,-0.964,0.144,-0.464
2025-07-10 14:48:41.960315,-0.964,0.144,-0.48
2025-07-10 14:48:41.961610,-0.964,0.144,-0.48
2025-07-10 14:48:41.979061,-0.956,0.164,-0.5
2025-07-10 14:48:41.980351,-0.956,0.164,-0.5
2025-07-10 14:48:41.997837,-0.956,0.184,-0.512
2025-07-10 14:48:41.999119,-0.956,0.184,-0.512
2025-07-10 14:48:42.035301,-0.968,0.188,-0.528
2025-07-10 14:48:42.036685,-0.968,0.188,-0.528
2025-07-10 14:48:42.037894,-0.972,0.168,-0.54
2025-07-10 14:48:42.038918,-0.972,0.168,-0.54
2025-07-10 14:48:42.054083,-0.98,0.148,-0.52
2025-07-10 14:48:42.055396,-0.98,0.148,-0.52
2025-07-10 14:48:42.072829,-0.976,0.148,-0.528
2025-07-10 14:48:42.074141,-0.976,0.148,-0.528
2025-07-10 14:48:42.091601,-0.992,0.136,-0.512
2025-07-10 14:48:42.092919,-0.992,0.136,-0.512
2025-07-10 14:48:42.110329,-0.996,0.136,-0.492
2025-07-10 14:48:42.111659,-0.996,0.136,-0.492
2025-07-10 14:48:42.129078,-0.988,0.112,-0.484
2025-07-10 14:48:42.130376,-0.988,0.112,-0.484
2025-07-10 14:48:42.166548,-0.992,0.108,-0.472
2025-07-10 14:48:42.167960,-0.992,0.108,-0.472
2025-07-10 14:48:42.241460,-0.996,0.108,-0.468
2025-07-10 14:48:42.243258,-0.996,0.108,-0.468
2025-07-10 14:48:42.244400,-0.992,0.112,-0.456
2025-07-10 14:48:42.245396,-0.992,0.112,-0.456
2025-07-10 14:48:42.246442,-0.972,0.112,-0.46
2025-07-10 14:48:42.247373,-0.972,0.112,-0.46
2025-07-10 14:48:42.248381,-0.956,0.108,-0.464
2025-07-10 14:48:42.249267,-0.956,0.108,-0.464
2025-07-10 14:48:42.260325,-0.952,0.096,-0.476
2025-07-10 14:48:42.261683,-0.952,0.096,-0.476
2025-07-10 14:48:42.279078,-0.944,0.1,-0.472
2025-07-10 14:48:42.280393,-0.944,0.1,-0.472
2025-07-10 14:48:42.297848,-0.94,0.116,-0.476
2025-07-10 14:48:42.299142,-0.94,0.116,-0.476
2025-07-10 14:48:42.316577,-0.952,0.132,-0.488
2025-07-10 14:48:42.317931,-0.952,0.132,-0.488
2025-07-10 14:48:42.354081,-0.96,0.124,-0.488
2025-07-10 14:48:42.355461,-0.96,0.124,-0.488
2025-07-10 14:48:42.356651,-0.952,0.112,-0.508
2025-07-10 14:48:42.357648,-0.952,0.112,-0.508
2025-07-10 14:48:42.372870,-0.944,0.084,-0.516
